연번,시도,시군구,주소,"운영시간
(A: 외래진료,
B: 외래진료 및 입원)"
114,부산시 ,동구,부산역 (부산시 동구 중앙대로 206 유라시아플랫폼),(평일&주말&공휴일)09:00~17:00
115,부산시 ,연제구,부산시청 앞 등대광장 (부산 연제구 중앙대로 1001),(평일&주말&공휴일)09:00~17:00
116,부산시 ,동래구,동래역 환승센터 옆,(평일&주말&공휴일)09:00~17:00
117,울산시,중구,종합운동장 (중구 염포로55),(평일)09:00~17:00
118,울산시,남구,문수축구경기장 (남구 문수로44),(평일&주말&공휴일)09:00~17:00
119,울산시,울주군,범서생활체육공원 (울주군 천상중앙길34),(평일)09:00~17:00
120,울산시,북구,농소운동장 축구장B (북구 호수 중앙로 14),(평일)09:00~17:00
121,울산시,중구,성남둔치 주차장 (중구 성남동 212),(평일)09:00~17:00
122,울산시,남구,달동 문화공원 (남구 번영로 200),(평일)09:00~17:00
123,울산시,남구,태화강 둔치 공영주차장 (남구 신정동 1513),(평일&주말&공휴일)09:00~17:00
124,울산시,울주군,온양체육공원 주차장 (울주군 온양읍 고산리 859-2),(평일)09:00~17:00
125,울산시,동구,동구국민체육센터(동구 봉수로 153),(평일)09:00~17:00
126,울산시,중구,교육청,(평일)09:00~17:00
